% of Total,% of Total
Assigned Space,Assigned Space
Assigned To,Assigned To
Assignment,Assignment
"Attach code examples to documentation entries for API usage, integrations, and automation recipes.","Attach code examples to documentation entries for API usage, integrations, and automation recipes."
Attach legal documents and templates to contracts for compliance tracking.,Attach legal documents and templates to contracts for compliance tracking.
Attached Legal Documents / المستندات المرفقة,Attached Legal Documents / المستندات المرفقة
Attached Legals,Attached Legals
Attachments / المرفقات,Attachments / المرفقات
Attendees,Attendees
Attendees for {0},Attendees for {0}
attends,attends
Author / الكاتب,Author / الكاتب
Author Name / اسم الكاتب,Author Name / اسم الكاتب
Auto Generated,Auto Generated
Auto Renew,Auto Renew
Auto Renew / تجديد تلقائي,Auto Renew / تجديد تلقائي
Auto-Capture Snapshots / التقاط تلقائي للقطات,Auto-Capture Snapshots / التقاط تلقائي للقطات
Auto-created from Online Payment {0},Auto-created from Online Payment {0}
Auto-Expire Day Passes / انتهاء التصاريح تلقائياً,Auto-Expire Day Passes / انتهاء التصاريح تلقائياً
Auto-Expiry,Auto-Expiry
Auto-generated from Day Pass {0},Auto-generated from Day Pass {0}
Auto-generated from Membership {0},Auto-generated from Membership {0}
Auto-generated from Space Booking {0},Auto-generated from Space Booking {0}
Auto-generated receipts for every payment — linked to invoices and credit transactions.,Auto-generated receipts for every payment — linked to invoices and credit transactions.
Auto-Reconcile Payments,Auto-Reconcile Payments
Auto-refresh in {0}s,Auto-refresh in {0}s
Auto-renewal disabled,Auto-renewal disabled
Auto-renewal enabled,Auto-renewal enabled
"Automatic daily captures of occupancy, revenue, and membership metrics.","Automatic daily captures of occupancy, revenue, and membership metrics."
Available,Available
available,available
Available Credits,Available Credits
Available for Booking,Available for Booking
Available Placeholders,Available Placeholders
Available Plans,Available Plans
Available Spaces / المساحات المتاحة,Available Spaces / المساحات المتاحة
Available — متاح,Available — متاح
Average Booking Duration / متوسط مدة الحجز,Average Booking Duration / متوسط مدة الحجز
Average Revenue Per Booking / متوسط الإيراد لكل حجز,Average Revenue Per Booking / متوسط الإيراد لكل حجز
Avg Occupancy %,Avg Occupancy %
Avg Revenue,Avg Revenue
Award badges upon completing training modules or achieving milestones.,Award badges upon completing training modules or achieving milestones.
Award Criteria,Award Criteria
Awarded Badge,Awarded Badge
Back to Portal,Back to Portal
Badge,Badge
Badge #,Badge #
Badge Awarded On,Badge Awarded On
Badge Code,Badge Code
Badge Display,Badge Display
Badge Image,Badge Image
Badge Name,Badge Name
Badge Number,Badge Number
Badge Printed,Badge Printed
Badges,Badges
Badges appear on member profiles in the directory and community pages.,Badges appear on member profiles in the directory and community pages.
Bank Transfer / تحويل بنكي,Bank Transfer / تحويل بنكي
Base Amount,Base Amount
Base: {0} → Final: {1},Base: {0} → Final: {1}
Basic Hot Desk,Basic Hot Desk
Beginner,Beginner
Benefits,Benefits
Bilingual,Bilingual
Bilingual template requires both Arabic and English terms,Bilingual template requires both Arabic and English terms
Billing,Billing
Billing & Invoicing,Billing & Invoicing
Billing Cycle,Billing Cycle
Billing Cycle / دورة الفوترة,Billing Cycle / دورة الفوترة
Block,Block
Block Slot,Block Slot
Block Slot — حجب فترة,Block Slot — حجب فترة
Blocked for {0}: {1} to {2},Blocked for {0}: {1} to {2}
Book,Book
Book a Space,Book a Space
Book a Space — ARKSpace,Book a Space — ARKSpace
Book Now,Book Now
Book Now — احجز الآن,Book Now — احجز الآن
Book Space — حجز المساحة,Book Space — حجز المساحة
booked,booked
Booking,Booking
Booking / الحجز,Booking / الحجز
Booking Analytics,Booking Analytics
Booking approvals,Booking approvals
Booking Cancelled,Booking Cancelled
Booking cancelled,Booking cancelled
Booking cancelled successfully,Booking cancelled successfully
Booking Cancelled — {{ doc.booking_id or doc.name }},Booking Cancelled — {{ doc.booking_id or doc.name }}
Booking Confirmation,Booking Confirmation
Booking Confirmed,Booking Confirmed
Booking Confirmed — {{ doc.booking_id or doc.name }},Booking Confirmed — {{ doc.booking_id or doc.name }}
Booking created!,Booking created!
Booking created: {0},Booking created: {0}
Booking Duration,Booking Duration
Booking failed. Please check availability.,Booking failed. Please check availability.
Booking Flow,Booking Flow
Booking Flow Monitor,Booking Flow Monitor
Booking ID,Booking ID
Booking Lifecycle,Booking Lifecycle
Booking moved from {0} ({1} - {2}) to {3} ({4} - {5}),Booking moved from {0} ({1} - {2}) to {3} ({4} - {5})
Booking moved successfully,Booking moved successfully
Booking must be submitted,Booking must be submitted
Booking must be submitted before check-in,Booking must be submitted before check-in
Booking Patterns,Booking Patterns
Booking Patterns by Hour,Booking Patterns by Hour
Booking Payment / دفعة حجز,Booking Payment / دفعة حجز
Booking Prefix,Booking Prefix
Booking Revenue,Booking Revenue
Booking Revenue / إيرادات الحجوزات,Booking Revenue / إيرادات الحجوزات
Booking split at {0}. Second part: {1} in {2},Booking split at {0}. Second part: {1} in {2}
Booking split successfully,Booking split successfully
Booking status is {0} — cannot check in,Booking status is {0} — cannot check in
Booking Type,Booking Type
Booking Type — نوع الحجز,Booking Type — نوع الحجز
Booking Types,Booking Types
Booking updated,Booking updated
Booking {0} created for {1}!,Booking {0} created for {1}!
Booking {0} created!,Booking {0} created!
Booking {0} is already {1},Booking {0} is already {1}
Booking {0} is not submitted,Booking {0} is not submitted
Booking {0} is not submitted.,Booking {0} is not submitted.
Booking {0} not found,Booking {0} not found
"Booking {0} status is {1}, expected Checked In","Booking {0} status is {1}, expected Checked In"
"Booking {0} status is {1}, expected Confirmed","Booking {0} status is {1}, expected Confirmed"
Booking {0}: end time changed from {1} to {2},Booking {0}: end time changed from {1} to {2}
Bookings,Bookings
Bookings & CRM,Bookings & CRM
Bookings & Members,Bookings & Members
Bookings (Period),Bookings (Period)
Bookings / الحجوزات,Bookings / الحجوزات
Bookings by Hour,Bookings by Hour
Bookings swapped,Bookings swapped
Bookings — الحجوزات,Bookings — الحجوزات
Both bookings are in the same space. Nothing to swap.,Both bookings are in the same space. Nothing to swap.
Branch,Branch
Branch / الفرع,Branch / الفرع
Branch 2 (Optional),Branch 2 (Optional)
Branch 3 (Optional),Branch 3 (Optional)
Branch Code / رمز الفرع,Branch Code / رمز الفرع
Branch Comparison,Branch Comparison
Branch management,Branch management
Branch Manager / مدير الفرع,Branch Manager / مدير الفرع
Branch Name (Arabic) / اسم الفرع بالعربية,Branch Name (Arabic) / اسم الفرع بالعربية
Branch Name / اسم الفرع,Branch Name / اسم الفرع
Branch operations oversight,Branch operations oversight
Branch Transfers,Branch Transfers
Branch — الفرع,Branch — الفرع
Branches,Branches
Branches — الفروع,Branches — الفروع
Brand Consistency,Brand Consistency
Bronze,Bronze
Browse,Browse
Browse first,Browse first
Browse our plans and start your membership today!,Browse our plans and start your membership today!
Browse Spaces,Browse Spaces
Budget,Budget
Budget Monthly,Budget Monthly
"Build connections, share knowledge, and attend events:","Build connections, share knowledge, and attend events:"
Build your community,Build your community
Built-in CRM & Lead Pipeline,Built-in CRM & Lead Pipeline
Bulk Cancel,Bulk Cancel
Bulk Check In,Bulk Check In
Bulk Check Out,Bulk Check Out
Bulk Generate QR,Bulk Generate QR
Bulk No Show,Bulk No Show
Bulk {0} Result,Bulk {0} Result
Bundles,Bundles
Busiest Day / أكثر يوم ازدحاماً,Busiest Day / أكثر يوم ازدحاماً
Business,Business
Business Hours Only,Business Hours Only
Business Incubators,Business Incubators
Button Border Radius (px),Button Border Radius (px)
Button Font Weight,Button Font Weight
Buttons,Buttons
Cancel,Cancel
Cancel before check-in. Refund policies apply per space type.,Cancel before check-in. Refund policies apply per space type.
Cancel Booking,Cancel Booking
Cancel Registration,Cancel Registration
Cancel {0} booking(s)? This cannot be undone.,Cancel {0} booking(s)? This cannot be undone.
Cancellation,Cancellation
Cancellation failed,Cancellation failed
Cancelled,Cancelled
Cancelled / ملغي,Cancelled / ملغي
Cancelled At,Cancelled At
Cancelled Bookings / حجوزات ملغاة,Cancelled Bookings / حجوزات ملغاة
Cannot block — existing bookings: {0}. Move them first.,Cannot block — existing bookings: {0}. Move them first.
Cannot cancel before submitting,Cannot cancel before submitting
Cannot check in a visitor with status {0},Cannot check in a visitor with status {0}
Cannot determine payment amount from {0},Cannot determine payment amount from {0}
Cannot extend a {0} booking.,Cannot extend a {0} booking.
Cannot extend — conflict with: {0},Cannot extend — conflict with: {0}
Cannot move a {0} booking.,Cannot move a {0} booking.
Cannot send a networking request to yourself,Cannot send a networking request to yourself
Cannot send a request to yourself,Cannot send a request to yourself
Cannot split a {0} booking.,Cannot split a {0} booking.
Cannot swap a {0} booking ({1}).,Cannot swap a {0} booking ({1}).
Cannot swap — conflict for {0} in {1},Cannot swap — conflict for {0} in {1}
Capabilities,Capabilities
Capacity,Capacity
Capacity & Pricing,Capacity & Pricing
Capacity & Size,Capacity & Size
Capacity / السعة,Capacity / السعة
Capacity must be at least 1,Capacity must be at least 1
"Capacity recalculated: {0} desks, {1} offices, {2} meeting rooms","Capacity recalculated: {0} desks, {1} offices, {2} meeting rooms"
CAPS Field-Level Security,CAPS Field-Level Security
Card,Card
Card / بطاقة,Card / بطاقة
Card Last 4,Card Last 4
Cash,Cash
Cash / نقدي,Cash / نقدي
Category,Category
Category / الفئة,Category / الفئة
Change Password,Change Password
Check / شيك,Check / شيك
Check In,Check In
Check In Now,Check In Now
Check in {0} booking(s)?,Check in {0} booking(s)?
Check Out,Check Out
Check out {0} booking(s)?,Check out {0} booking(s)?
Check-in,Check-in
Check-in failed,Check-in failed
"Check-in frequency, booking patterns, membership utilization per member.","Check-in frequency, booking patterns, membership utilization per member."
Check-out failed,Check-out failed
Checked In,Checked In
Checked In / تم تسجيل الدخول,Checked In / تم تسجيل الدخول
Checked In At,Checked In At
Checked in successfully,Checked in successfully
Checked in!,Checked in!
Checked Out,Checked Out
Checked Out At,Checked Out At
Checked out — Duration: {0}h,Checked out — Duration: {0}h
Checked out!,Checked out!
Checking in visitor...,Checking in visitor...
Checking in...,Checking in...
Checking out...,Checking out...
Checkout URL,Checkout URL
Choose a Plan,Choose a Plan
